Sampling,Model,Metric,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Avg_Acc,Std_dev_Acc,Avg_Precision,Std_dev Precision,Avg_recall,std_dev recall,average_f1,std_dev f1
UNDER,Naive Bayes,precision,0.891304348,0.892541087,0.90412783,0.896162528,0.907068063,0.907894737,0.923828125,0.91677675,0.920114123,0.890526316,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Naive Bayes,recall,0.541416567,0.849578821,0.80450237,0.479468599,0.82994012,0.814639906,0.555816686,0.814553991,0.757042254,0.506586826,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Naive Bayes,f1,0.673637043,0.87053021,0.851410658,0.624704957,0.866791745,0.858742999,0.694057227,0.862647607,0.830650354,0.645801527,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,RBF Kernel SVC,accuracy,0.699570815,0.778969957,0.826180258,0.700643777,0.796137339,0.799356223,0.714592275,0.805793991,0.821888412,0.675965665,0.761909871,0.054574511,0.901589548,0.011128382,0.825473589,0.065446999,0.860814889,0.039327444
,,,,,,,,,,,,,,,,,,,,
UNDER,RBF Kernel SVC,TP,631,711,760,625,729,737,650,737,754,609,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,RBF Kernel SVC,FN,202,120,84,203,106,110,201,115,98,226,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,RBF Kernel SVC,FP,78,86,78,76,84,77,65,66,68,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,RBF Kernel SVC,TN,21,15,10,28,13,8,16,14,12,21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,RBF Kernel SVC,precision,0.889985896,0.892095358,0.906921241,0.891583452,0.896678967,0.905405405,0.909090909,0.917808219,0.917274939,0.889051095,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,RBF Kernel SVC,recall,0.757503001,0.855595668,0.900473934,0.754830918,0.873053892,0.87012987,0.763807286,0.865023474,0.884976526,0.729341317,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,RBF Kernel SVC,f1,0.818417639,0.873464373,0.903686088,0.817527796,0.884708738,0.887417219,0.830140485,0.890634441,0.90083632,0.801315789,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Random Forest,accuracy,0.474248927,0.465665236,0.473175966,0.428111588,0.436695279,0.431330472,0.46888412,0.417381974,0.436695279,0.431330472,0.446351931,0.020465174,0.953776117,0.012072673,0.406250616,0.028887037,0.569110068,0.026766397
,,,,,,,,,,,,,,,,,,,,
UNDER,Random Forest,TP,370,350,379,304,327,332,370,324,340,320,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Random Forest,FN,463,481,465,524,508,515,481,528,512,515,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Random Forest,FP,27,17,26,9,17,15,14,15,13,15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Random Forest,TN,72,84,62,95,80,70,67,65,67,82,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Random Forest,precision,0.931989924,0.953678474,0.935802469,0.971246006,0.950581395,0.956772334,0.963541667,0.955752212,0.963172805,0.955223881,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Random Forest,recall,0.444177671,0.421179302,0.449052133,0.367149758,0.391616766,0.391971665,0.434782609,0.38028169,0.399061033,0.383233533,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Random Forest,f1,0.601626016,0.584307179,0.606885508,0.532865907,0.554707379,0.556113903,0.599190283,0.544080605,0.564315353,0.547008547,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,AdaBoost,accuracy,0.460300429,0.49248927,0.479613734,0.433476395,0.456008584,0.489270386,0.527896996,0.47639485,0.481759657,0.443133047,0.474034335,0.025852803,0.946661827,0.01424634,0.4416069,0.034431432,0.601569426,0.03304667
,,,,,,,,,,,,,,,,,,,,
UNDER,AdaBoost,TP,361,386,383,313,348,388,427,383,386,340,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
